family,species
Amaranthaceae,Beta macrocarpa
Asteraceae,Chamaemelum fuscatum
Asteraceae,Chamaemelum mixtum
Gentianaceae,Centaurium tenuiflorum
Frankeniaceae,Frankenia pulverulenta
Poaceae,Hordeum marinum
Asteraceae,Leontodon maroccanus
Fabaceae,Melilotus elengans
Fabaceae,Melilotus sulcatus
Plantaginaceae,Plantago coronopus
Poaceae,Polypogon monspeliensis
Asteraceae,Pulicaria paludosa
Asteraceae,Scorzonera laciniata
Caryophyllaceae,Spergularia rubra
Asteraceae,Sonchus asper
Amaranthaceae,Suaeda splendens
Amaranthaceae,Salsola soda
Poaceae,Polypogon maritimus
